family,reach_km,reach_bbox_deg2,reach_hull
Yeniseian,1039.7970654763897,56.50016234000001,57692.3478862644
Salishan,1038.1984733176382,85.55315519999996,816142.40601462
Muskogean,1015.6150431948922,41.259759360000004,338096.992470726
Aymaran,929.0158486358821,32.793938931810004,59191.1812541957
Kxa,924.5175275537865,37.95895181160002,200550.93110346
Tucanoan,923.6606894963702,34.73300963500002,247454.57789374
Kru,813.5327829763252,21.724462416599998,157462.599933899
Arawan,769.5045256272666,19.489835460000013,108957.246969422
Cochimi-Yuman,736.4924093649183,34.559008800000015,271214.686611612
Yukaghir,727.3921414746209,85.31380000000007,1333789.94527226
Mataguayan,719.2353574775049,18.831942030000004,69387.0298407609
Anim,711.1237712356052,17.098767749999983,104872.324927954
Wakashan,686.3325287740975,22.473865200000013,73247.1042395508
Kawesqar,685.6336608431606,25.050032221410003,15427.1982710233
Mirndi,659.3442781632856,14.536017299999969,50980.2877896773
Barbacoan,620.5989383197107,13.35278988200005,54208.8599492423
Ta-Ne-Omotic,607.6179011312078,15.931805714999996,94815.5243487462
Gunwinyguan,593.5885186200529,13.59375140000005,95037.0431854671
Maban,511.4307087180366,11.193250898400002,70508.430785279
Bororoan,503.8211341068675,5.996550420000004,10238.7826807964
Misumalpan,499.1033056823945,10.084724229563982,70318.251413846
Mixe-Zoque,487.3280022491449,12.659702799999998,87636.9983039646
Chocoan,477.4644795266219,9.00413129000002,60683.048042162
Koreanic,464.62941766330005,1.7661236999999925,87.511571243215
Guahiboan,456.2961040594352,11.476380057999954,59752.5821314219
Surmic,455.86097710682986,14.162944681500015,89438.9413265416
Katukinan,443.944786629014,3.1336061439999896,102.464963594586
Naduhup,442.5502827968969,6.460758661,20516.4454664916
Yanomamic,431.8414960641226,8.467639462500019,76259.7165392525
Sahaptian,426.596791398164,7.592281599999999,57517.5950602162
Furan,423.57774625210726,7.442096969999997,131.823150760661
Nakh-Daghestanian,373.07831955842397,10.330900246799995,81851.3229212299
Huitotoan,361.6673209352068,5.4507794446800135,40046.367068901
Worrorran,357.826222217334,5.587263693000012,48502.8835453928
Lakes Plain,352.09845527814593,3.3341490000000067,20862.7060308303
Timor-Alor-Pantar,351.7322021700283,3.328904141999989,25785.065602643
Hibito-Cholon,351.56987969849706,4.601889683999989,32.8706329518458
Abkhaz-Adyge,331.1206794123939,4.8489037276000015,47515.9222759256
Zaparoan,330.4732323089557,4.693642392999992,39184.7881871672
Saliban,321.5730445011764,2.475329299999997,7915.08544604841
Miwok-Costanoan,319.8472930640504,7.191366230999983,64008.8179020058
Western Tasmanian,314.13859121347207,4.8077998563000515,35580.420488356
Nambiquaran,308.24845253376407,2.6283036625759952,8552.92099258617
Charruan,306.2894753523797,4.000408830000002,28552.7696375728
Jarrakan,299.89629240084764,3.6994608000000224,6394.0157608861
Tsimshian,293.4044739423137,2.9000626399999803,29740.9724538404
Kamakanan,289.3850182759532,4.8935141999999985,34377.1749563682
Kakua-Nukak,288.8623094069147,3.36074417000001,5.35048159812744
Chicham,284.9193250599619,2.2886788980000015,11667.1600497397
Geelvink Bay,277.3547305283861,2.952339280000005,11124.3929787491
Nuclear Torricelli,270.01494310853536,1.673688900000007,11230.8865448954
North Halmahera,266.3647963079383,2.5350299999999986,17792.3037363971
Maiduan,263.9658031083459,2.3041199999999926,15174.1373867469
Zamucoan,260.42322682553413,3.3874543547200062,11115.1507769317
Ticuna-Yuri,256.78572657213715,0.2590650759690092,0.35507988915983
Uru-Chipaya,251.5023344905332,2.1648110343999996,24.9035894987397
Hurro-Urartian,248.68746438795725,0.06053869000000966,1.96510472088685
South Bird's Head,246.95080883755986,1.8208085000000005,5300.35334998136
Mangarrayi-Maran,244.02851885867094,2.7478710000000155,13062.308786994
Puri-Coroado,241.44410066757834,2.101478366802,29.1231835862247
Western Daly,235.54407317047162,1.5217756000000382,10977.1008726086
Dogon,234.70367007253088,2.584541348999997,19599.5932691619
Sepik,234.1098394853063,2.998079519999985,20579.0042924572
Nyulnyulan,230.54478047072382,3.3627089075000054,27356.8835312294
Ijoid,229.907962092602,1.9683658279999998,13406.0396328446
Kiwaian,210.1792405448102,1.7883410200000018,4987.03355540696
Lengua-Mascoy,209.42240871704115,1.9447844823439988,12623.1460698395
Kalapuyan,199.97635655065588,1.7062299999999984,13279.792530215
Peba-Yagua,199.4414168414244,1.229241251000005,1638.19394433493
Kamula-Elevala,198.4559436324702,1.5533423999999991,2926.27526594979
Araucanian,195.83114743108572,1.9819980000000006,66.2832828382212
Yam,194.31527995649554,1.6827666900000107,12871.0697139601
Chumashan,194.02458950351564,2.0274672000000007,9962.38759577783
Huarpean,193.8313152048783,0.8878599872640041,16.440675240156
Kresh-Aja,193.26383882316168,1.585196298000001,6384.56483770032
Nivkh,191.8009688936561,2.0067834800000077,209.362737000443
Yuki-Wappo,189.78987688790306,1.2647644000000122,32.6672283457788
Heibanic,175.28998265404547,1.5873948032,9807.89151436992
Gumuz,175.20924037388318,1.0953381599999992,6039.57035331991
Kartvelian,174.27242481595044,2.7048069900000122,28134.0966646267
Tangkic,174.05536928474368,1.4411952800000043,9358.17417074444
Southern Daly,173.90816446170442,0.737828849600001,13.5415945326707
Kadugli-Krongo,168.85364572232314,1.2222061600000003,4427.047760355
Great Andamanese,156.99137052957815,0.2845985480000014,1059.98222780887
Lower Sepik,155.52426790542407,1.16052868,6119.74196374235
Kuliak,152.74114951479137,1.0540888959999999,3648.88386525904
Totonacan,149.7450915596609,0.7428374999999994,5672.19375003377
Nyimang,149.5098771165106,0.4603829300000002,7.20873581020677
Koiarian,145.7447236212418,0.8207156599999986,5838.63528978608
Yangmanic,141.9197071704152,0.2852100000000288,1514.57408958728
Tor-Orya,141.00011539155537,0.8302626599999863,4417.71983508697
Giimbiyu,137.86469923288288,0.19181250000000125,840.022261681773
Jicaquean,136.92646224286688,0.7605235200000058,5.7098533810362
Sko,134.8044335851163,0.5064650367300071,1170.88350713133
Garrwan,134.38681309093465,0.13484834999997886,0.757334520452679
Iwaidjan Proper,133.12431294265778,0.7757418000000121,4241.336135723
Yokutsan,129.62010382626303,1.0441176268800088,6996.67364088084
South Omotic,129.02229432884883,0.5735646756000004,4652.48293093978
Boran,127.72710536813392,0.19050149220599902,0.0747302815718908
